Metric,age_or_height,sex,Match ID,m,s,l,2.5th,5th,25th,50th,75th,95th,97.5th
haz,0,Male,0_1,58.58193765,0.049562123,1,52.89128963,53.80619528,56.62359362,58.58193765,60.54028168,63.35768002,64.27258567
haz,1,Male,1_1,60.12159475,0.049168003,1,54.32782606,55.25931079,58.12776342,60.12159475,62.11542608,64.98387871,65.91536344
haz,2,Male,2_1,61.65492041,0.048778658,1,55.76043794,56.70811478,59.62643007,61.65492041,63.68341075,66.60172604,67.54940288
haz,3,Male,3_1,63.1575101,0.048400521,1,57.16618166,58.12942877,61.09569179,63.1575101,65.21932841,68.18559143,69.14883854
haz,4,Male,4_1,64.62569542,0.048035309,1,58.54134934,59.51955122,62.5318666,64.62569542,66.71952424,69.73183962,70.7100415
haz,5,Male,5_1,66.055808,0.047684692,1,59.88221376,60.87476439,63.93126588,66.055808,68.18035012,71.23685161,72.22940224
haz,6,Male,6_1,67.44417942,0.047350296,1,61.18503079,62.1913363,65.29019515,67.44417942,69.59816369,72.69702254,73.70332805
haz,7,Male,7_1,68.78714131,0.047033707,1,62.4460419,63.46552293,66.60495501,68.78714131,70.96932761,74.10875969,75.12824072
haz,8,Male,8_1,70.08102526,0.046736479,1,63.66147611,64.69356978,67.87184176,70.08102526,72.29020876,75.46848074,76.50057441
haz,9,Male,9_1,71.32216289,0.04646014,1,64.82755239,65.87171395,69.08714824,71.32216289,73.55717754,76.77261183,77.81677339
haz,10,Male,10_1,72.50688579,0.046206199,1,65.94048197,66.99618599,70.24716464,72.50688579,74.76660694,78.01758559,79.07328961
haz,11,Male,11_1,73.63154728,0.045976157,1,66.99648987,68.06323157,71.34820011,73.63154728,75.91489445,79.19986299,80.26660469
haz,12,Male,12_1,74.69534676,0.04577135,1,67.99441245,69.07174541,72.38932913,74.69534676,77.00136439,80.31894811,81.39628107
haz,13,Male,13_1,75.7031342,0.04559281,1,68.93828202,70.02589129,73.37512027,75.7031342,78.03114813,81.38037711,82.46798638
haz,14,Male,14_1,76.66042626,0.045441557,1,69.83275623,70.93046494,74.31079459,76.66042626,79.01005793,82.39038758,83.48809629
haz,15,Male,15_1,77.57273964,0.045318637,1,70.68250423,71.7902718,75.20157711,77.57273964,79.94390217,83.35520748,84.46297505
haz,16,Male,16_1,78.445591,0.045225136,1,71.49220223,72.61012319,76.05269527,78.445591,80.83848673,84.28105881,85.39897977
haz,17,Male,17_1,79.28449703,0.045162184,1,72.26653034,73.39483373,76.86937786,79.28449703,81.6996162,85.17416033,86.30246372
haz,18,Male,18_1,80.0949744,0.045130963,1,73.01016847,74.14921783,77.65685359,80.0949744,82.53309521,86.04073097,87.17978033
haz,19,Male,19_1,80.88253978,0.045132718,1,73.72779149,74.87808573,78.42034944,80.88253978,83.34473012,86.88699383,88.03728807
haz,20,Male,20_1,81.65270985,0.045168762,1,74.42406512,75.58623996,79.16508925,81.65270985,84.14033045,87.71917974,88.88135458
haz,21,Male,21_1,82.41100129,0.045240493,1,75.10363949,76.27846995,79.89629149,82.41100129,84.92571109,88.54353263,89.71836309
haz,22,Male,22_1,83.16293078,0.045349394,1,75.77114512,76.9595487,80.61916788,83.16293078,85.70669368,89.36631286,90.55471644
haz,23,Male,23_1,83.91401362,0.045497054,1,76.43118392,77.63422498,81.3389194,83.91401362,86.48910784,90.19380226,91.39684332
haz,24,Male,24_1,84.66813545,0.045684,1,77.08703572,78.305876,82.05922319,84.66813545,87.27704771,91.0303949,92.24923518
haz,25,Male,25_1,85.42439586,0.045907399,1,77.73817792,78.97391843,82.77930888,85.42439586,88.06948284,91.87487329,93.1106138
haz,26,Male,26_1,86.18102031,0.046163809,1,78.38341304,79.637062,83.4976005,86.18102031,88.86444012,92.72497862,93.97862758
